HUGO_GeneName	EntrezID
LINC02082	100507661
RAB4B	53916
TIGAR	57103
LINC01224	104472717
RNF44	22838
DNAH3	55567
RPL23A	6147
RPL7L1P12	100420200
LOC100420250	100420250
ARL8B	55207
CALB2	794
DACH1	1602
LINC00636	285205
CHIAP1	100420342
ECE1-AS1	100506801
FMO2	2327
ZNF708	7562
MTHFD2P3	106481665
MYADML2	255275
DNM3-IT1	100874284
PHEX	5251
MOGAT2	80168
RPL7P13	130728
PFN2	5217
CASC23	103581031
RMND5A	64795
LINC02201	101927379
PCAT1	100750225
RAD23A	5886
RNVU1-2A	6063
TUBB4A	10382
OR2D2	120776
SERPINB11	89778
COX10	1352
LINC02292	101929080
GJA4	2701
LINC00705	338588
RPL7P17	100270851
TLL2	7093
MFSD3	113655
LOC100419839	100419839
LOC401463	401463
CTSA	5476
IL32	9235
PRAC2	360205
RPS4XP3	128580
NUCB2	4925
SERPINB12	89777
B3GAT2	135152
RNU6-428P	106481894
SPATA2	9825
GGT3P	2679
COLCA1	399948
RN7SL560P	106479426
RNU6-820P	106479929
FGF23	8074
LOC100129135	100129135
SERTAD2	9792
OTUD1	220213
ADGRG5	221188
ST3GAL6	10402
GLI4	2738
PKP2	5318
RNU6-453P	106479766
HOOK1	51361
MRM3	55178
KRT1	3848
PDLIM1P3	100419427
RNU6-1273P	106481947
RNA5SP218	100873478
ASB8	140461
RAET1K	646024
DDX11L10	100287029
SLC45A4	57210
RNA5SP128	100873398
MTRF1	9617
GAGE10	102724473
LOC100420053	100420053
MTND5P14	100873258
IGSF11-AS1	100506765
MTND2P28	100652939
FMO7P	100337589
ESM1	11082
RWDD2A	112611
ENTPD1-AS1	728558
LINC00592	283404
ACOXL-AS1	400997
SCFD2	152579
PRR23A	729627
TMEM155	132332
TOMM40	10452
GYG2P2	100418892
RNA5SP75	100873309
PRSS48	345062
ADTRP	84830
SEPSECS	51091
DCDC2C	728597
CWC27	10283
MT1L	4500
RNA5SP37	100873369
SMARCE1P1	100271884
PRAMEF26	645359
MYOM2	9172
MAP9	79884
MTND6P7	106478945
EVX1	2128
RNU7-147P	106480451
APIP	51074
FOXP1	27086
RNU6-498P	106481338
MAF1	84232
NPHP3	27031
OR5L2	26338
PRAMEF4	400735
PLCE1	51196
CAP1P1	401076
RAD17	5884
LOC100419154	100419154
MITD1	129531
ZMAT3	64393
SPCS2	9789
DGCR11	25786
SETDB2	83852
PAX3	5077
DESI2	51029
MT1A	4489
COX17	10063
LOC100419861	100419861
NLGN2	57555
RPS6P9	100131467
HAO1	54363
HSPA8P15	100420051
PKMYT1	9088
OR4A7P	81316
EIF3EP3	100462836
EIF3LP3	340947
FAM89B	23625
MED8	112950
PHF1	5252
RNU6-1329P	106481600
MTND4P10	100873256
DIPK1A	388650
RPL21P59	100271174
ANKMY1	51281
PSMB6	5694
CIB4	130106
GUCY1A1	2982
PRKG2	5593
MESTP3	645641
FBXO45	200933
RPS17P10	100271071
AMZ2	51321
PSME2P4	338096
TMEM52	339456
RPS2P24	100270912
RNA5SP177	100873439
HLA-DRB1	3123
LNCPRESS1	101927721
GCNT4	51301
EFCAB1	79645
KLK8	11202
RN7SL541P	106481069
RPL31P32	643851
LOC100420018	100420018
MTF2	22823
HSPE1-MOB4	100529241
RBM15B	29890
NOBOX	135935
KRT18P61	100418865
LINC02126	101927650
LOC100421141	100421141
VN1R53P	100312806
RPL31P53	100271477
OR52E1	79296
RNU6-391P	106479739
ATP2A1	487
CALHM1	255022
ZNF880	400713
NCAPG	64151
LOC100419512	100419512
CLPSL2	389383
MELTF	4241
PTPRB	5787
TMCO1	54499
PDE11A-AS1	105373764
MTND4LP2	107075098
RAB5C	5878
NPBWR2	2832
UPP1	7378
CEBPE	1053
TRABD2B	388630
HAVCR1P1	100101266
KLK10	5655
MRPL57P7	359731
KDM5B	10765
STPG1	90529
RPS3AP37	100271593
PTPRH	5794
RPL6P18	100131805
PCMTD1	115294
OR14A16	284532
NDUFS5P6	106480785
AACSP1	729522
GLRA3	8001
FRMD8	83786
HELZ2	85441
MINDY4	84182
MAP2K7	5609
RPL7P37	439954
SMIM32	389332
ZNF767P	79970
GRIP1	23426
H2BP8	115482725
LINC01880	105373979
SNORD99	692212
SLC2A1	6513
ARMH2	101928603
LEMD1-AS1	284576
WNT1	7471
SNRPD2	6633
MUSK	4593
PTPN4	5775
CDY1	9085
LINC02317	101930294
POLR2LP1	493825
RNA5SP465	100873709
DUX4L5	653545
LOC730183	730183
RNU6-175P	106480558
LZIC	84328
HCG27	253018
RN7SL521P	106479413
SPATA31D1	389763
MASP2	10747
LINC02384	100507195
FOXD2-AS1	84793
RPRM	56475
SPAG11B	10407
TNNT1	7138
MTND1P11	100873212
XKR5	389610
CAMK1	8536
OR2U2P	26694
MTATP6P26	107075301
DEFA1	1667
H6PD	9563
GRAMD1C	54762
WFDC1	58189
RPS6KB1	6198
LOC101926964	101926964
RNU6-1206P	106481561
MIR3936HG	553103
MTATP6P19	107075275
OFD1P4Y	386688
KCNE4	23704
EIF1P5	106481690
FCGR2B	2213
HOXC13	3229
TOLLIP-AS1	255512
PHYKPL	85007
TRIM27	5987
KRT8P10	344320
RPL17P21	100271151
RNU7-90P	106479060
NME1-NME2	654364
PHLDA2	7262
CBL	867
ASS1P2	447
SMAP1	60682
LOC100421673	100421673
TERB2	145645
RLN1	6013
RN7SL193P	106480493
KRT8P50	102724430
PPIAP27	100874405
LOC100418965	100418965
RPS15AP30	100271607
EVPL	2125
GRAMD4P8	100631247
SMIM2	79024
RDH12	145226
IL27RA	9466
SRGAP2-AS1	100873165
OR10H1	26539
BRDT	676
WDR70	55100
LOC613206	613206
TTC5	91875
CENPH	64946
RPL7P22	728620
EPB41L2	2037
RNA5SP442	106480768
LOC139952	139952
NBEAP2	100418881
WWC2-AS2	152641
HMGB1P46	100419978
C1orf35	79169
LDHA	3939
LINC02826	105370057
RN7SL446P	106479385
XCL1	6375
RBM10	8241
LOC101929536	101929536
RNU6-90P	106481205
DNMT3A	1788
CYP4F22	126410
LOC646588	646588
PDE5A	8654
FTLP10	100130017
RN7SL648P	106479459
LINC01730	101929125
RNU6-1045P	106480025
ZNF304	57343
ATP6AP2	10159
RN7SL714P	106480527
ATP23	91419
MTND4P24	100873254
TREH	11181
NOP16	51491
HEY2	23493
ACOX2	8309
INTS13	55726
SLC25A51P2	645423
MAJIN	283129
PROSER2	254427
PPP1R7	5510
HNRNPA2B1	3181
RN7SL25P	106479233
OR51E2	81285
MIR100HG	399959
LOC105369362	105369362
CYP2E1	1571
PES1	23481
USP3-AS1	100130855
RNU6-919P	106479972
RPS13P2	729236
HSDL2	84263
RPL31P9	619464
LINC00395	100874157
PTCD3	55037
STARD5	80765
TSPEAR	54084
DNAJC8	22826
LOC101928748	101928748
VN1R103P	730066
SRRM1	10250
LINC01874	727944
MEF2C-AS1	101929423
RNU6-3P	106478919
FLYWCH2	114984
SERF1AP1	100131921
NTM	50863
LOC100133137	100133137
LSM4	25804
IFNA1	3439
ZDHHC20P3	100874348
DDX3X	1654
RN7SL177P	106480969
RPL41	6171
LINC01771	105378732
RNY1P5	100862667
RNVU1-24	106480167
RNU7-2P	100147745
ELOCP13	100462875
TP73-AS1	57212
RN7SKP132	106480874
SERPINB3	6317
ASB2	51676
RNU7-105P	106479065
RPS6P16	100128923
CD1C	911
DDX55P1	100129640
MZT2A	653784
EXOSC7	23016
FOXO1B	2311
RNA5SP237	100873495
RECQL5	9400
ZNF35	7584
OGDHL	55753
NOX1	27035
FGFBP1	9982
RN7SL150P	106479276
FAM86C1P	55199
PIGA	5277
MNT	4335
LOC105377488	105377488
RPL19P9	653314
RPS28P2	100271120
MSANTD3	91283
LINC01776	729987
OR2V2	285659
PLOD1	5351
SNCA-AS1	644248
LINC02771	105372907
PSMB3P2	130700
LINC02481	339988
RNA5S10	100169761
RNU6-464P	106479771
CD79B	974
FARS2	10667
MTND4LP26	107075104
DDX60L	91351
VNN2	8875
RNU6-1307P	106481593
LINC01994	401103
RCN3	57333
PPP4C	5531
JAKMIP3	282973
ALDOA	226
CTAGE6	340307
NCEH1	57552
RFX4	5992
NRAP	4892
ZFYVE28	57732
RCAN3	11123
RNU6-18P	106478916
GALC	2581
ZNF451	26036
RNF24	11237
DROSHA	29102
BCL7C	9274
RAB9AP2	100287542
LEMD2	221496
BTLA	151888
HES7	84667
PRDM10	56980
VPS18	57617
LINC01686	284648
RNU6-78P	100873778
DUX4L11	399839
UQCRB	7381
DIPK1B	138311
PRRT1	80863
MRPL20-AS1	148413
RNF5	6048
ONECUT1	3175
POTEC	388468
CICP21	100420263
RN7SL49P	106480935
BNIP3P32	106480283
CCDC63	160762
CDK8	1024
NPIPB14P	109729168
PCBP3	54039
LAMA1	284217
LOC171391	171391
RIC8B	55188
ULK4P1	89838
PLK3	1263
MPLKIP	136647
RN7SL144P	106480960
LIPJ	142910
EN1	2019
PEMT	10400
TRIM51	84767
WNK4	65266
RNU6-940P	106479982
RPL19P14	100270951
NACAP5	645108
LNPEP	4012
LOC101928940	101928940
SNORA11F	109617000
LINC01562	105378716
LOC100422189	100422189
PXT1	222659
MRPL22	29093
KRT18P37	392214
SLC7A11	23657
NCAN	1463
LOC101928402	101928402
LOC100420583	100420583
RNU4-22P	107057646
ALG3P1	442131
MTND2P5	100873176
GABRA3	2556
DOCK10	55619
DHDDS	79947
HSFY7P	106478935
C10orf90	118611
MGA	23269
RMI2	116028
GALNT16	57452
RPL21P109	100271437
CLEC3A	10143
UROD	7389
VPS45	11311
LINC02281	105370423
NLGN3	54413
PGAM1P3	100873887
ARFGEF1	10565
AIDAP2	646890
GDF9	2661
MAGEE2	139599
USP18	11274
RPL21P11	157206
RNA5SP183	100873445
RNU7-186P	106480363
RPL29P2	118432
SOSTDC1	25928
ZNF850	342892
RN7SKP297	106479227
AKAP4	8852
HMGB1P30	100873893
MTND3P5	100873186
CAND1	55832
KCNJ5	3762
TTTY6	84672
KCNJ11	3767
CRYBB1	1414
CAPN3	825
CA10	56934
TRAF3IP2	10758
MEP1A	4224
AGXT2	64902
POGK	57645
OR5M8	219484
PRH1-PRR4	100533464
PRKACB	5567
RN7SL843P	106481151
BCAP29	55973
CLCA4	22802
RNU2-60P	106481653
RLBP1	6017
HOOK3	84376
DHX15	1665
SNX19	399979
IL4	3565
BIRC6-AS2	103752586
RPL36AP48	646175
RNU6-770P	106481423
ATAD3C	219293
CCDC188	388849
RPF1	80135
RAD54L	8438
CHORDC1	26973
SLC18A2	6571
ZNF180	7733
RPL23AP36	100271296
ATP6V0E1	8992
OGN	4969
BTBD16	118663
