Target Gene File	gene1	gene2	entrezid1	entrezid2	AMP/DEL	AMP/DEL	pval1	pval2	pval3
BCL2_wholegenome_results	400322	HERC2P2	596	BCL2	Deletion	Amplification	2.52E-11	0.016205043	0.022824428
BCL2_wholegenome_results	283796	GOLGA8IP	596	BCL2	Deletion	Amplification	3.35E-10	0.016205043	0.022824428
BCL2_wholegenome_results	81614	NIPA2	596	BCL2	Deletion	Amplification	1.02E-09	0.016205043	0.031040567
BCL2_wholegenome_results	5728	PTEN	596	BCL2	Deletion	Amplification	2.12E-09	0.003424489	0.022185704
BCL2_wholegenome_results	283755	HERC2P3	596	BCL2	Deletion	Amplification	2.23E-09	0.016205043	0.022824428
BCL2_wholegenome_results	4692	NDN	596	BCL2	Deletion	Amplification	3.21E-09	0.016205043	0.023342202
BCL2_wholegenome_results	404220	C6orf201	596	BCL2	Deletion	Amplification	4.85E-07	0.016205043	0.02991299
BCL2_wholegenome_results	123606	NIPA1	596	BCL2	Deletion	Amplification	8.65E-07	0.016205043	0.022824428
BCL2_wholegenome_results	9450	LY86	596	BCL2	Deletion	Amplification	9.80E-07	0.016205043	0.033894854
BCL2_wholegenome_results	8123	PWAR5	596	BCL2	Deletion	Amplification	1.93E-06	0.016205043	0.023342202
BCL2_wholegenome_results	145624	PWAR1	596	BCL2	Deletion	Amplification	4.68E-06	0.016205043	0.022824428
BCL2_wholegenome_results	596	BCL2	91133	L3MBTL4	Amplification	Deletion	3.84E-05	0.003424489	0.009374768
BCL2_wholegenome_results	596	BCL2	339290	LINC00667	Amplification	Deletion	3.84E-05	0.004683649	0.009374768
BCL2_wholegenome_results	596	BCL2	9450	LY86	Amplification	Deletion	3.84E-05	0.016205043	0.028459737
BCL2_wholegenome_results	596	BCL2	283755	HERC2P3	Amplification	Deletion	3.84E-05	0.016205043	0.028459737
BCL2_wholegenome_results	596	BCL2	100505592	GAPLINC	Amplification	Deletion	3.84E-05	0.016205043	0.028459737
BCL2_wholegenome_results	596	BCL2	494514	TYMSOS	Amplification	Deletion	3.84E-05	0.016205043	0.028459737
BCL2_wholegenome_results	596	BCL2	400322	HERC2P2	Amplification	Deletion	3.84E-05	0.016205043	0.028459737
BCL2_wholegenome_results	596	BCL2	8736	MYOM1	Amplification	Deletion	3.84E-05	0.016205043	0.028459737
BCL2_wholegenome_results	596	BCL2	4692	NDN	Amplification	Deletion	3.84E-05	0.017604617	0.028459737
BCL2_wholegenome_results	596	BCL2	55556	ENOSF1	Amplification	Deletion	3.84E-05	0.017604617	0.028459737
BCL2_wholegenome_results	596	BCL2	7298	TYMS	Amplification	Deletion	3.84E-05	0.017604617	0.044609718
BCL2_wholegenome_results	596	BCL2	8123	PWAR5	Amplification	Deletion	3.84E-05	0.017604617	0.028459737
BCL2_wholegenome_results	596	BCL2	6263	RYR3	Amplification	Deletion	3.84E-05	0.017604617	0.028459737
BCL2_wholegenome_results	596	BCL2	283796	GOLGA8IP	Amplification	Deletion	3.84E-05	0.018343329	0.028459737
BCL2_wholegenome_results	596	BCL2	54551	MAGEL2	Amplification	Deletion	3.84E-05	0.019109035	0.028459737
BCL2_wholegenome_results	596	BCL2	9984	THOC1	Amplification	Deletion	3.84E-05	0.019109035	0.028459737
BCL2_wholegenome_results	596	BCL2	7681	MKRN3	Amplification	Deletion	3.84E-05	0.019109035	0.028459737
BCL2_wholegenome_results	596	BCL2	10799	RPP40	Amplification	Deletion	3.84E-05	0.022458092	0.028459737
BCL2_wholegenome_results	596	BCL2	6638	SNRPN	Amplification	Deletion	3.84E-05	0.026306147	0.028459737
BCL2_wholegenome_results	596	BCL2	10667	FARS2	Amplification	Deletion	3.84E-05	0.028435268	0.028459737
BCL2_wholegenome_results	596	BCL2	51299	NRN1	Amplification	Deletion	3.84E-05	0.030711203	0.028459737
BCL2_wholegenome_results	596	BCL2	145624	PWAR1	Amplification	Deletion	3.84E-05	0.030711203	0.028459737
BCL2_wholegenome_results	596	BCL2	404220	C6orf201	Amplification	Deletion	3.84E-05	0.038499801	0.028459737
BCL2_wholegenome_results	596	BCL2	101927950	LOC101927950	Amplification	Deletion	3.84E-05	0.038499801	0.028459737
BCL2_wholegenome_results	596	BCL2	283683	LOC283683	Amplification	Deletion	3.84E-05	0.039948925	0.028459737
BCL2_wholegenome_results	596	BCL2	114791	TUBGCP5	Amplification	Deletion	3.84E-05	0.044576807	0.028459737
BCL2_wholegenome_results	56940	DUSP22	596	BCL2	Deletion	Amplification	4.47E-05	0.016205043	0.028459737
BCL2_wholegenome_results	648791	PPP1R3G	596	BCL2	Deletion	Amplification	4.58E-05	0.016205043	0.036713856
BCL2_wholegenome_results	5797	PTPRM	596	BCL2	Deletion	Amplification	4.77E-05	0.016205043	0.040423979
BCL2_wholegenome_results	8736	MYOM1	596	BCL2	Deletion	Amplification	7.94E-05	0.016205043	0.045500264
BCL2_wholegenome_results	9425	CDYL	596	BCL2	Deletion	Amplification	6.54E-04	0.016205043	0.033894854
BCL2_wholegenome_results	222826	FAM217A	596	BCL2	Deletion	Amplification	9.01E-04	0.016205043	0.02991299
BCL2_wholegenome_results	7681	MKRN3	596	BCL2	Deletion	Amplification	1.16E-03	0.016205043	0.023342202
BCL2_wholegenome_results	10667	FARS2	596	BCL2	Deletion	Amplification	2.25E-03	0.016205043	0.036713856
BCL2_wholegenome_results	55770	EXOC2	596	BCL2	Deletion	Amplification	2.48E-03	0.016205043	0.028459737
