Target Gene File	gene1	gene2	entrezid1	entrezid2	AMP/DEL	AMP/DEL	pval1	pval2	pval3
ABL1_wholegenome_results	51741	WWOX	25	ABL1	Deletion	Amplification	2.95E-37	0.025452858	0.015447828
APC_wholegenome_results	5584	PRKCI	324	APC	Amplification	Deletion	8.99E-17	0.016350202	0.025239078
APC_wholegenome_results	7095	SEC62	324	APC	Amplification	Deletion	7.95E-16	0.016350202	0.020637558
APC_wholegenome_results	6498	SKIL	324	APC	Amplification	Deletion	5.19E-15	0.016350202	0.031424347
APC_wholegenome_results	80012	PHC3	324	APC	Amplification	Deletion	1.66E-14	0.016350202	0.03228019
APC_wholegenome_results	10195	ALG3	324	APC	Amplification	Deletion	2.91E-13	0.016350202	0.039807115
APC_wholegenome_results	64778	FNDC3B	324	APC	Amplification	Deletion	9.68E-13	0.016350202	0.022824428
APC_wholegenome_results	1894	ECT2	324	APC	Amplification	Deletion	8.54E-13	0.016350202	0.031040567
APC_wholegenome_results	4976	OPA1	324	APC	Amplification	Deletion	7.75E-13	0.016350202	0.036713856
APC_wholegenome_results	9804	TOMM20	324	APC	Amplification	Deletion	2.97E-12	0.015150547	0.023342202
APC_wholegenome_results	646600	IGF2BP2-AS1	324	APC	Amplification	Deletion	2.90E-12	0.016350202	0.022824428
APC_wholegenome_results	1857	DVL3	324	APC	Amplification	Deletion	3.87E-12	0.016350202	0.027547148
APC_wholegenome_results	116211	TM4SF19	324	APC	Amplification	Deletion	4.75E-12	0.016350202	0.023342202
APC_wholegenome_results	23527	ACAP2	324	APC	Amplification	Deletion	4.60E-12	0.016350202	0.043819793
APC_wholegenome_results	5062	PAK2	324	APC	Amplification	Deletion	7.57E-12	0.016350202	0.032209686
APC_wholegenome_results	79718	TBL1XR1	324	APC	Amplification	Deletion	1.04E-11	0.016350202	0.023925843
APC_wholegenome_results	1173	AP2M1	324	APC	Amplification	Deletion	1.21E-11	0.016350202	0.021231462
APC_wholegenome_results	10686	CLDN16	324	APC	Amplification	Deletion	1.20E-11	0.016350202	0.023925843
APC_wholegenome_results	79572	ATP13A3	324	APC	Amplification	Deletion	1.06E-11	0.016350202	0.032209686
APC_wholegenome_results	23101	MCF2L2	324	APC	Amplification	Deletion	1.82E-11	0.016350202	0.021231462
APC_wholegenome_results	9175	MAP3K13	324	APC	Amplification	Deletion	9.12E-12	0.016350202	0.043819793
APC_wholegenome_results	401105	FLJ42393	324	APC	Amplification	Deletion	1.90E-11	0.016350202	0.023925843
APC_wholegenome_results	79929	MAP6D1	324	APC	Amplification	Deletion	2.35E-11	0.016350202	0.021231462
APC_wholegenome_results	5504	PPP1R2	324	APC	Amplification	Deletion	1.17E-11	0.016350202	0.043819793
APC_wholegenome_results	116832	RPL39L	324	APC	Amplification	Deletion	1.39E-11	0.016350202	0.046301595
APC_wholegenome_results	51742	ARID4B	324	APC	Amplification	Deletion	3.85E-11	0.015150547	0.024588566
APC_wholegenome_results	23200	ATP11B	324	APC	Amplification	Deletion	3.97E-11	0.016350202	0.045140626
APC_wholegenome_results	5708	PSMD2	324	APC	Amplification	Deletion	7.84E-11	0.016350202	0.039807115
APC_wholegenome_results	8087	FXR1	324	APC	Amplification	Deletion	1.01E-10	0.016350202	0.039807115
APC_wholegenome_results	100820709	LINC00501	324	APC	Amplification	Deletion	2.19E-10	0.016350202	0.022824428
APC_wholegenome_results	1739	DLG1	324	APC	Amplification	Deletion	1.66E-10	0.016350202	0.043819793
APC_wholegenome_results	100505687	LINC00888	324	APC	Amplification	Deletion	5.42E-10	0.016350202	0.021231462
APC_wholegenome_results	9827	RGP1	324	APC	Amplification	Deletion	5.32E-10	0.016350202	0.026224181
APC_wholegenome_results	344657	LRRIQ4	324	APC	Amplification	Deletion	8.77E-10	0.016350202	0.020637558
APC_wholegenome_results	285386	TPRG1	324	APC	Amplification	Deletion	5.28E-10	0.016350202	0.043819793
APC_wholegenome_results	7037	TFRC	324	APC	Amplification	Deletion	6.25E-10	0.016350202	0.043819793
APC_wholegenome_results	5130	PCYT1A	324	APC	Amplification	Deletion	6.90E-10	0.016350202	0.043819793
APC_wholegenome_results	348793	WDR53	324	APC	Amplification	Deletion	1.36E-09	0.016350202	0.023342202
APC_wholegenome_results	1981	EIF4G1	324	APC	Amplification	Deletion	1.59E-09	0.016350202	0.022362073
APC_wholegenome_results	6434	TRA2B	324	APC	Amplification	Deletion	8.87E-10	0.016350202	0.043819793
APC_wholegenome_results	10488	CREB3	324	APC	Amplification	Deletion	1.01E-09	0.016350202	0.039008342
APC_wholegenome_results	339929	LPP-AS2	324	APC	Amplification	Deletion	1.86E-09	0.016350202	0.023925843
APC_wholegenome_results	84223	IQCG	324	APC	Amplification	Deletion	2.04E-09	0.016350202	0.022824428
APC_wholegenome_results	1211	CLTA	324	APC	Amplification	Deletion	1.86E-09	0.016350202	0.027248441
APC_wholegenome_results	2814	GP5	324	APC	Amplification	Deletion	2.69E-09	0.016350202	0.022824428
APC_wholegenome_results	100131551	LINC00887	324	APC	Amplification	Deletion	3.02E-09	0.016350202	0.022362073
APC_wholegenome_results	7016	TESK1	324	APC	Amplification	Deletion	2.75E-09	0.016350202	0.027248441
APC_wholegenome_results	51726	DNAJB11	324	APC	Amplification	Deletion	1.76E-09	0.016350202	0.046301595
APC_wholegenome_results	6165	RPL35A	324	APC	Amplification	Deletion	3.72E-09	0.016350202	0.022824428
APC_wholegenome_results	94032	CAMK2N2	324	APC	Amplification	Deletion	4.14E-09	0.016350202	0.022362073
APC_wholegenome_results	84984	CEP19	324	APC	Amplification	Deletion	1.97E-08	0.016350202	0.023342202
APC_wholegenome_results	100507391	LINC01968	324	APC	Amplification	Deletion	2.47E-08	0.016350202	0.023925843
APC_wholegenome_results	8626	TP63	324	APC	Amplification	Deletion	2.86E-08	0.016350202	0.023925843
APC_wholegenome_results	200931	SLC51A	324	APC	Amplification	Deletion	5.34E-08	0.016350202	0.023342202
APC_wholegenome_results	255758	TCTEX1D2	324	APC	Amplification	Deletion	5.55E-08	0.016350202	0.023342202
APC_wholegenome_results	285242	HTR3E	324	APC	Amplification	Deletion	9.22E-08	0.016350202	0.021231462
APC_wholegenome_results	84517	ACTRT3	324	APC	Amplification	Deletion	5.99E-08	0.016350202	0.033222319
APC_wholegenome_results	647323	LINC02026	324	APC	Amplification	Deletion	1.59E-07	0.016350202	0.020921335
APC_wholegenome_results	692094	MSMP	324	APC	Amplification	Deletion	1.82E-07	0.016350202	0.026224181
APC_wholegenome_results	375387	NRROS	324	APC	Amplification	Deletion	3.35E-07	0.016350202	0.023342202
APC_wholegenome_results	1974	EIF4A2	324	APC	Amplification	Deletion	3.99E-07	0.016350202	0.023342202
APC_wholegenome_results	152137	CCDC50	324	APC	Amplification	Deletion	2.16E-07	0.016350202	0.043819793
APC_wholegenome_results	57704	GBA2	324	APC	Amplification	Deletion	2.77E-07	0.016350202	0.039008342
APC_wholegenome_results	151827	LRRC34	324	APC	Amplification	Deletion	5.42E-07	0.016350202	0.020637558
APC_wholegenome_results	971	CD72	324	APC	Amplification	Deletion	9.59E-07	0.016350202	0.027248441
APC_wholegenome_results	9370	ADIPOQ	324	APC	Amplification	Deletion	1.44E-06	0.016350202	0.023342202
APC_wholegenome_results	79269	DCAF10	324	APC	Amplification	Deletion	1.77E-06	0.016350202	0.036713856
APC_wholegenome_results	401109	LINC00885	324	APC	Amplification	Deletion	3.14E-06	0.016350202	0.023342202
APC_wholegenome_results	100128164	LOC100128164	324	APC	Amplification	Deletion	3.56E-06	0.016350202	0.020921335
APC_wholegenome_results	2257	FGF12	324	APC	Amplification	Deletion	4.81E-06	0.016350202	0.022824428
APC_wholegenome_results	100507086	DLG1-AS1	324	APC	Amplification	Deletion	4.86E-06	0.016350202	0.023342202
APC_wholegenome_results	89857	KLHL6	324	APC	Amplification	Deletion	3.44E-06	0.016350202	0.035421319
APC_wholegenome_results	158234	TRMT10B	324	APC	Amplification	Deletion	3.58E-06	0.016350202	0.036713856
APC_wholegenome_results	102724550	LINC02015	324	APC	Amplification	Deletion	5.90E-06	0.016350202	0.022824428
APC_wholegenome_results	6514	SLC2A2	324	APC	Amplification	Deletion	6.69E-06	0.016350202	0.021231462
APC_wholegenome_results	7094	TLN1	324	APC	Amplification	Deletion	7.90E-06	0.016350202	0.026224181
